Month,Sales Method,Total_Sales,Operating_Profit,Operating_Margin_Pct
2020-01,In-store,5085572.53,2200305.42,43.27
2020-01,Online,4113062.61,1375555.77,33.44
2020-01,Outlet,1773695.29,377895.85,21.31
2020-02,In-store,3941331.91,1688488.33,42.84
2020-02,Online,3749276.8,1263296.6,33.69
2020-02,Outlet,1958605.1400000001,425566.43,21.73
2020-03,In-store,5375097.66,2306498.66,42.91
2020-03,Online,3566667.41,1154618.61,32.37
2020-03,Outlet,2235280.94,479327.68,21.44
2020-04,In-store,5581727.99,2377400.52,42.59
2020-04,Online,3448193.21,1155909.68,33.52
2020-04,Outlet,2386519.53,508236.1,21.3
2020-05,In-store,5298460.17,2231574.08,42.12
2020-05,Online,3549899.57,1155146.21,32.54
2020-05,Outlet,2003315.33,399941.29,19.96
2020-06,In-store,5045841.76,2119908.51,42.01
2020-06,Online,3348281.44,1110407.85,33.16
2020-06,Outlet,2202849.2,445144.25,20.21
2020-07,In-store,5127548.19,2130383.08,41.55
2020-07,Online,3979532.5100000002,1337154.35,33.6
2020-07,Outlet,2164426.24,461265.74,21.31
2020-08,In-store,5658261.68,2473065.28,43.71
2020-08,Online,3631194.95,1221380.57,33.64
2020-08,Outlet,2235918.77,465295.81,20.81
2020-09,In-store,3978592.43,1726403.46,43.39
2020-09,Online,3610164.67,1213498.45,33.61
2020-09,Outlet,2023153.64,410890.12,20.31
2020-10,In-store,4393161.67,1844183.92,41.98
2020-10,Online,3416125.97,1114171.32,32.62
2020-10,Outlet,2324547.07,496209.65,21.35
2020-11,In-store,5901727.75,2535311.93,42.96
2020-11,Online,4108227.16,1359764.48,33.1
2020-11,Outlet,2185953.88,465964.92,21.32
2020-12,In-store,5247752.62,2229307.53,42.48
2020-12,Online,4263330.28,1393032.15,32.67
2020-12,Outlet,2237527.43,483742.37,21.62
2021-01,In-store,5304774.28,2262793.97,42.66
2021-01,Online,3891651.2,1257646.17,32.32
2021-01,Outlet,2700295.45,563235.48,20.86
2021-02,In-store,4792996.72,2021666.82,42.18
2021-02,Online,2865303.57,955103.18,33.33
2021-02,Outlet,2089544.1,449029.17,21.49
2021-03,In-store,5337935.29,2287770.7,42.86
2021-03,Online,3402009.47,1110695.95,32.65
2021-03,Outlet,2085126.1,444833.19,21.33
2021-04,In-store,4393067.16,1906127.26,43.39
2021-04,Online,3378601.55,1146108.03,33.92
2021-04,Outlet,1946401.06,396228.27,20.36
2021-05,In-store,3960998.56,1676040.02,42.31
2021-05,Online,3739214.51,1264084.73,33.81
2021-05,Outlet,2184300.32,492354.68,22.54
2021-06,In-store,5366792.53,2268702.15,42.27
2021-06,Online,3772714.17,1207391.16,32.0
2021-06,Outlet,2278508.72,484029.38,21.24
2021-07,In-store,5338994.34,2267396.94,42.47
2021-07,Online,3586030.28,1136915.56,31.7
2021-07,Outlet,2314881.58,488034.75,21.08
2021-08,In-store,5413750.56,2346429.75,43.34
2021-08,Online,3389815.4,1124158.77,33.16
2021-08,Outlet,1951744.63,402609.65,20.63
2021-09,In-store,4727006.18,2063027.16,43.64
2021-09,Online,3095330.42,1042669.31,33.69
2021-09,Outlet,2046253.55,432867.85,21.15
2021-10,In-store,4438613.58,1870198.53,42.13
2021-10,Online,3181333.27,1077933.61,33.88
2021-10,Outlet,2276371.2,466023.18,20.47
2021-11,In-store,5345195.6,2289716.29,42.84
2021-11,Online,4035341.92,1336355.73,33.12
2021-11,Outlet,1884472.43,404798.02,21.48
2021-12,In-store,4901051.04,2087663.64,42.6
2021-12,Online,3719688.73,1260951.94,33.9
2021-12,Outlet,2622968.1,564219.62,21.51
