Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Category,Is_Outlier,Year,Month
Foot Locker,1185732,2020-01-01,West,Colorado,Denver,Women's Street Footwear,91.09,824,75058.16,27679.28,0.3688,Online,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-01,South,Oklahoma,Tulsa,Women's Apparel,37.08,791,29330.28,14632.14,0.4989,In-store,Apparel,False,2020,2020-01
West Gear,1189833,2020-01-01,South,Oklahoma,Tulsa,Women's Athletic Footwear,71.84,27,1939.68,391.78,0.202,Outlet,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-01,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,94.6,815,77099.0,25917.39,0.3362,Online,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-01,West,Colorado,Denver,Women's Street Footwear,66.18,562,37193.16,14830.84,0.3988,Online,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-01,South,Oklahoma,Tulsa,Men's Street Footwear,42.02,394,16555.88,3133.9,0.1893,Outlet,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-01,Midwest,Illinois,Springfield,Women's Street Footwear,72.51,579,41983.29,20763.27,0.4946,In-store,Footwear,False,2020,2020-01
Sports Direct,1128299,2020-01-01,Midwest,Minnesota,Saint Paul,Men's Athletic Footwear,67.54,18,1215.72,413.47,0.3401,In-store,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-01,Southeast,Virginia,Richmond,Men's Athletic Footwear,77.58,782,60667.56,24144.57,0.398,In-store,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-01,West,Colorado,Colorado Springs,Women's Athletic Footwear,87.09,541,47115.69,22431.9,0.4761,In-store,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-01,South,Oklahoma,Tulsa,Women's Apparel,52.3,801,41892.3,19267.0,0.4599,In-store,Apparel,False,2020,2020-01
Amazon,1128302,2020-01-01,Northeast,Massachusetts,Boston,Men's Street Footwear,62.49,782,48867.18,17194.98,0.3519,Outlet,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-01,Southeast,North Carolina,Charlotte,Men's Street Footwear,56.13,712,39964.56,10596.58,0.2651,Online,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-02,South,Tennessee,Nashville,Men's Street Footwear,81.93,279,22858.47,9487.8,0.4151,In-store,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-02,Southeast,Virginia,Richmond,Women's Street Footwear,58.89,774,45580.86,15362.04,0.337,Online,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-02,Southeast,Virginia,Virginia Beach,Men's Athletic Footwear,102.4,788,80691.2,31526.8,0.3907,Online,Footwear,True,2020,2020-01
Foot Locker,1185732,2020-01-02,South,Tennessee,Nashville,Men's Street Footwear,67.98,298,20258.04,7824.77,0.3863,Online,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-02,Southeast,Florida,Tampa,Men's Athletic Footwear,97.25,295,28688.75,14686.8,0.5119,In-store,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-02,Midwest,Ohio,Cleveland,Men's Apparel,27.43,273,7488.39,1616.44,0.2159,Outlet,Apparel,False,2020,2020-01
Walmart,1197831,2020-01-02,Northeast,Massachusetts,Boston,Men's Street Footwear,55.92,229,12805.68,3362.83,0.2626,Outlet,Footwear,False,2020,2020-01
Sports Direct,1128299,2020-01-02,South,Oklahoma,Tulsa,Women's Apparel,31.15,762,23736.3,9736.64,0.4102,In-store,Apparel,False,2020,2020-01
Amazon,1128302,2020-01-02,West,Nevada,Las Vegas,Women's Street Footwear,66.18,245,16214.1,5804.49,0.358,Online,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-02,South,Oklahoma,Tulsa,Women's Apparel,37.27,733,27318.91,11409.93,0.4177,In-store,Apparel,False,2020,2020-01
West Gear,1189833,2020-01-02,Midwest,Ohio,Columbus,Women's Street Footwear,51.6,30,1548.0,575.36,0.3717,In-store,Footwear,False,2020,2020-01
Sports Direct,1128299,2020-01-03,South,Louisiana,New Orleans,Women's Athletic Footwear,50.44,339,17099.16,5225.44,0.3056,Outlet,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-03,South,Louisiana,New Orleans,Men's Athletic Footwear,71.13,215,15292.95,4113.95,0.269,Online,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-03,Midwest,Michigan,Detroit,Women's Street Footwear,76.89,247,18991.83,8570.66,0.4513,In-store,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-03,Northeast,New Jersey,Newark,Women's Apparel,53.82,304,16361.28,8898.66,0.5439,In-store,Apparel,False,2020,2020-01
Foot Locker,1185732,2020-01-03,Northeast,New Jersey,Jersey City,Women's Athletic Footwear,90.14,315,28394.1,10035.72,0.3534,Online,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-03,Midwest,Michigan,Detroit,Men's Street Footwear,88.67,693,61448.31,23611.35,0.3842,In-store,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-03,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,40.2,637,25607.4,6638.13,0.2592,Outlet,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-03,South,Tennessee,Nashville,Women's Apparel,35.6,406,14453.6,5676.32,0.3927,Online,Apparel,False,2020,2020-01
Foot Locker,1185732,2020-01-03,Midwest,Illinois,Chicago,Men's Street Footwear,78.54,195,15315.3,4565.4,0.2981,Online,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-03,South,Louisiana,Baton Rouge,Men's Street Footwear,62.23,364,22651.72,4666.47,0.206,Outlet,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-03,Midwest,Michigan,Grand Rapids,Men's Athletic Footwear,78.38,689,54003.82,26161.85,0.4844,Online,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-04,West,Nevada,Reno,Men's Street Footwear,48.77,142,6925.34,783.19,0.1131,Outlet,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-04,South,Louisiana,New Orleans,Women's Athletic Footwear,97.28,651,63329.28,31319.99,0.4946,In-store,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-04,South,Texas,Houston,Women's Apparel,40.87,796,32532.52,9123.32,0.2804,Online,Apparel,False,2020,2020-01
Sports Direct,1128299,2020-01-04,Midwest,Ohio,Columbus,Men's Apparel,54.47,704,38346.88,18487.91,0.4821,In-store,Apparel,False,2020,2020-01
West Gear,1189833,2020-01-04,Southeast,Virginia,Virginia Beach,Women's Athletic Footwear,80.88,79,6389.52,2562.12,0.401,In-store,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-04,West,California,San Francisco,Men's Apparel,44.71,60,2682.6,1124.85,0.4193,In-store,Apparel,False,2020,2020-01
Kohl's,1197834,2020-01-04,South,Tennessee,Nashville,Men's Street Footwear,67.03,769,51546.07,11772.07,0.2284,Outlet,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-04,Southeast,Florida,Tampa,Women's Street Footwear,45.98,433,19909.34,3996.9,0.2008,Online,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-04,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,65.91,418,27550.38,11177.79,0.4057,In-store,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-04,Northeast,New York,Albany,Men's Apparel,29.97,54,1618.38,352.03,0.2175,Outlet,Apparel,False,2020,2020-01
West Gear,1189833,2020-01-04,Southeast,North Carolina,Charlotte,Women's Street Footwear,81.09,385,31219.65,13334.4,0.4271,Online,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-04,Southeast,North Carolina,Raleigh,Men's Athletic Footwear,52.61,778,40930.58,7436.67,0.1817,Outlet,Footwear,False,2020,2020-01
Sports Direct,1128299,2020-01-04,Midwest,Illinois,Chicago,Men's Street Footwear,71.86,240,17246.4,2445.09,0.1418,Outlet,Footwear,False,2020,2020-01
West Gear,1189833,2020-01-04,Midwest,Michigan,Grand Rapids,Women's Athletic Footwear,75.11,491,36879.01,12796.97,0.347,Online,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-04,Northeast,New Jersey,Jersey City,Men's Street Footwear,73.8,586,43246.8,20946.39,0.4843,In-store,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-04,Southeast,Georgia,Atlanta,Women's Street Footwear,51.93,184,9555.12,2495.3,0.2611,Outlet,Footwear,False,2020,2020-01
Sports Direct,1128299,2020-01-04,Southeast,Georgia,Savannah,Women's Athletic Footwear,80.23,588,47175.24,9576.11,0.203,Online,Footwear,False,2020,2020-01
Sports Direct,1128299,2020-01-04,West,Colorado,Denver,Men's Athletic Footwear,73.81,27,1992.87,879.75,0.4414,Online,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-04,West,Colorado,Colorado Springs,Men's Street Footwear,66.42,821,54530.82,25088.84,0.4601,In-store,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-04,South,Oklahoma,Oklahoma City,Men's Apparel,60.81,535,32533.35,12454.72,0.3828,In-store,Apparel,False,2020,2020-01
Foot Locker,1185732,2020-01-04,West,California,San Diego,Women's Street Footwear,83.01,672,55782.72,26937.67,0.4829,In-store,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-04,South,Oklahoma,Tulsa,Men's Athletic Footwear,85.23,419,35711.37,14656.5,0.4104,Online,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-05,Midwest,Ohio,Cleveland,Women's Apparel,45.08,269,12126.52,2825.04,0.233,Online,Apparel,False,2020,2020-01
West Gear,1189833,2020-01-05,South,Oklahoma,Tulsa,Women's Athletic Footwear,43.36,80,3468.8,822.83,0.2372,Outlet,Footwear,False,2020,2020-01
Walmart,1197831,2020-01-05,Midwest,Minnesota,Minneapolis,Women's Street Footwear,89.04,747,66512.88,30463.99,0.458,In-store,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-05,Southeast,Georgia,Savannah,Men's Apparel,52.35,779,40780.65,19500.5,0.4782,In-store,Apparel,False,2020,2020-01
Sports Direct,1128299,2020-01-05,Midwest,Illinois,Chicago,Women's Street Footwear,48.09,500,24045.0,6156.04,0.256,Outlet,Footwear,False,2020,2020-01
Kohl's,1197834,2020-01-05,Northeast,Massachusetts,Boston,Women's Apparel,49.29,668,32925.72,9814.54,0.2981,Online,Apparel,False,2020,2020-01
Amazon,1128302,2020-01-05,Southeast,Virginia,Virginia Beach,Men's Apparel,40.62,262,10642.44,3481.41,0.3271,Online,Apparel,False,2020,2020-01
Kohl's,1197834,2020-01-05,Northeast,New York,New York,Women's Apparel,53.87,841,45304.67,17915.28,0.3954,In-store,Apparel,False,2020,2020-01
Foot Locker,1185732,2020-01-05,Midwest,Michigan,Grand Rapids,Women's Apparel,37.2,253,9411.6,4011.11,0.4262,Online,Apparel,False,2020,2020-01
Sports Direct,1128299,2020-01-05,Northeast,Pennsylvania,Pittsburgh,Women's Apparel,27.37,530,14506.1,5840.1,0.4026,In-store,Apparel,False,2020,2020-01
Kohl's,1197834,2020-01-05,Midwest,Ohio,Columbus,Men's Apparel,52.84,179,9458.36,3042.33,0.3217,Online,Apparel,False,2020,2020-01
Walmart,1197831,2020-01-05,Northeast,Massachusetts,Boston,Men's Athletic Footwear,65.69,368,24173.92,8519.82,0.3524,Online,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-06,Northeast,Pennsylvania,Pittsburgh,Men's Apparel,41.53,231,9593.43,4027.94,0.4199,In-store,Apparel,False,2020,2020-01
Amazon,1128302,2020-01-06,Northeast,New Jersey,Jersey City,Women's Street Footwear,54.16,846,45819.36,14230.49,0.3106,Online,Footwear,False,2020,2020-01
Sports Direct,1128299,2020-01-06,Southeast,Virginia,Virginia Beach,Men's Apparel,53.83,175,9420.25,4548.84,0.4829,In-store,Apparel,False,2020,2020-01
Amazon,1128302,2020-01-06,Northeast,Massachusetts,Worcester,Men's Athletic Footwear,57.72,725,41847.0,12748.26,0.3046,Online,Footwear,False,2020,2020-01
Amazon,1128302,2020-01-06,West,Nevada,Las Vegas,Women's Apparel,51.89,213,11052.57,3422.17,0.3096,Online,Apparel,False,2020,2020-01
Walmart,1197831,2020-01-06,Midwest,Minnesota,Minneapolis,Men's Street Footwear,89.51,191,17096.41,7733.36,0.4523,In-store,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-06,Northeast,New Jersey,Jersey City,Men's Street Footwear,67.33,300,20199.0,8774.33,0.4344,Online,Footwear,False,2020,2020-01
Foot Locker,1185732,2020-01-06,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,66.55,90,5989.5,2722.96,0.4546,In-store,Footwear,False,2020,2020-01
