Region,Sales Method,Total_Sales,Operating_Profit,Units_Sold,Transactions,Avg_Price_per_Unit,Operating_Margin_Pct
Midwest,In-store,24917843.23,10568506.43,370716,818,66.31,42.41
Southeast,In-store,24232425.13,10317978.6,361012,829,66.45,42.58
West,In-store,24046123.42,10367484.47,345688,788,69.29,43.11
South,In-store,23779029.99,9994529.66,354000,838,66.45,42.03
Northeast,In-store,22980830.43,9961864.79,334209,777,68.17,43.35
Northeast,Online,18825369.43,6188764.77,301031,669,62.63,32.87
Southeast,Online,18462744.56,6046169.11,299518,698,60.95,32.75
West,Online,17362467.8,5848529.97,270653,626,62.8,33.68
South,Online,16761829.25,5511038.17,279141,646,59.81,32.88
Midwest,Online,15428580.03,5179448.16,248847,582,62.66,33.57
Northeast,Outlet,10980392.07,2331169.14,210487,493,52.41,21.23
Southeast,Outlet,10957802.33,2286399.42,214940,509,51.74,20.87
West,Outlet,10439460.22,2207997.96,200391,473,51.94,21.15
Midwest,Outlet,10187550.11,2176285.56,196928,464,51.64,21.36
South,Outlet,9547454.97,2005891.37,188760,438,49.72,21.01
