Retailer,Region,Total_Sales,Operating_Profit,Units_Sold,Transactions,Avg_Price_per_Unit,Operating_Margin_Pct
Walmart,Northeast,9628887.11,3413928.94,149533,345,63.12,35.46
Foot Locker,Southeast,9494466.37,3277036.48,153318,358,61.76,34.52
West Gear,Midwest,9366677.1,3232271.89,150304,344,62.05,34.51
Foot Locker,South,9338592.28,3246417.67,153532,363,59.44,34.76
West Gear,Northeast,9229667.99,3258535.31,145353,317,62.33,35.31
Kohl's,West,9216772.39,3230305.85,147644,326,62.43,35.05
West Gear,Southeast,9154149.87,3184188.27,150147,342,59.73,34.78
Walmart,Southeast,9041180.02,3121652.67,151596,344,60.36,34.53
Amazon,Southeast,9024586.67,3193089.78,145997,356,61.28,35.38
Foot Locker,Northeast,8943164.62,3063589.46,142499,330,64.15,34.26
Foot Locker,West,8886132.98,3091361.61,141069,328,62.06,34.79
Amazon,Midwest,8878290.68,3150032.77,141867,322,62.19,35.48
Sports Direct,West,8840026.6,3165469.25,137368,327,63.05,35.81
West Gear,West,8733325.15,3142173.12,136810,305,63.79,35.98
Sports Direct,Midwest,8713562.41,3126675.78,141012,316,61.87,35.88
Walmart,Midwest,8694142.51,3083693.8,139778,313,61.52,35.47
Sports Direct,Southeast,8633389.08,2956196.74,139467,315,60.55,34.24
Kohl's,Northeast,8606247.63,3001176.29,139631,320,61.78,34.87
Walmart,West,8538356.45,3089214.54,131370,301,63.81,36.18
Walmart,South,8470504.17,2968421.43,143288,337,58.42,35.04
Sports Direct,South,8447367.93,3004364.46,132466,312,63.27,35.57
Amazon,Northeast,8338845.25,2925231.57,135566,306,61.61,35.08
Kohl's,Southeast,8305200.01,2918383.19,134945,321,61.6,35.14
Kohl's,South,8236280.49,2876828.7,140433,318,59.47,34.93
Sports Direct,Northeast,8039779.33,2819337.13,133145,321,60.39,35.07
Amazon,South,7979479.62,2780929.3,130764,304,60.16,34.85
Foot Locker,Midwest,7697461.36,2798140.4,122423,286,61.4,36.35
Amazon,West,7633437.87,2705488.03,122471,300,61.65,35.44
West Gear,South,7616089.72,2634497.64,121418,288,62.14,34.59
Kohl's,Midwest,7183839.31,2533425.51,121107,283,59.84,35.27
